Agente,Partida,Victoria,Tiempo_Jugada_ms,Turnos_Totales
Reglas,124,1,0.2088993787765503,48
Reglas,125,0,0.0,50
Reglas,126,1,0.0650099345615932,140
Reglas,127,0,0.0,44
Reglas,128,0,0.08244039835753264,432
Reglas,129,0,0.0061505549662822,74
Reglas,130,1,0.0,60
Reglas,131,1,0.12884029122286064,86
Reglas,132,0,0.10882105146135602,56
Reglas,133,1,0.027917325496673584,64
Reglas,134,1,0.0,44
Reglas,135,0,0.0,58
Reglas,136,0,0.11856026119656032,72
Reglas,137,1,0.07009590175789847,284
Reglas,138,1,0.0,108
Reglas,139,1,0.06400906678402063,264
Reglas,140,1,0.05274772644042969,200
Reglas,141,0,0.1406574249267578,50
Reglas,142,0,0.043796456378439194,46
Reglas,143,0,0.02574920654296875,78
Reglas,144,1,0.07525330684224113,244
Reglas,145,0,0.06678321144797586,110
Reglas,146,0,0.060324668884277344,100
Reglas,147,0,0.03465701793802196,58
Reglas,148,1,0.07219314575195312,60
Reglas,149,0,0.08906963023733586,94
Reglas,150,0,0.0,66
Reglas,151,0,0.07482178239937287,166
Reglas,152,0,0.04383792047915252,46
Reglas,153,1,0.04187822341918945,60
Reglas,154,0,0.0,46
Reglas,155,0,0.06047384006770577,254
Reglas,156,0,0.0,44
Reglas,157,0,0.0,60
Reglas,158,1,0.0,30
Reglas,159,0,0.11508715780157792,152
Reglas,160,0,0.0,46
Reglas,161,0,0.0,146
Reglas,162,1,0.4210948944091797,30
Reglas,163,1,0.063005246614155,76
Reglas,164,0,0.0,122
Reglas,165,0,0.12222818426183753,74
Reglas,166,0,0.0,44
Reglas,167,1,0.12265552173961293,44
Reglas,168,1,0.0,116
Reglas,169,1,0.15718715135441272,86
Reglas,170,0,0.14234440667288645,28
Reglas,171,1,0.04670803363506611,130
Reglas,172,0,0.052016228437423706,192
Reglas,173,1,0.0,52
Reglas,174,1,0.24623530251639228,56
Reglas,175,0,0.08448889089185137,86
Reglas,176,0,0.0,28
Reglas,177,0,0.07019371821962553,58
Reglas,178,1,0.0,22
Reglas,179,0,0.16501214769151476,54
Reglas,180,1,0.05106400635282872,118
Reglas,181,1,0.11031348983962815,154
Reglas,182,0,0.11248660810065993,132
Reglas,183,1,0.0,48
Reglas,184,1,0.12569189071655273,100
Reglas,185,1,0.04507814134870257,56
Reglas,186,1,0.0,22
Reglas,187,0,0.0807924403084649,144
Reglas,188,0,0.0,42
Reglas,189,0,0.0,50
Reglas,190,0,0.0,70
Reglas,191,0,0.0,36
Reglas,192,1,0.523000955581665,24
Reglas,193,1,0.03734656742640904,112
Reglas,194,0,0.0,66
Reglas,195,1,0.0,34
Reglas,196,1,0.23056507110595703,50
Reglas,197,0,0.0646736310875934,276
Reglas,198,0,0.0762036352446585,132
Reglas,199,1,0.04370316215183424,46
Reglas,200,1,0.04439904139592097,130
Reglas,201,0,0.06054948877405237,54
Reglas,202,0,0.04959245060765466,172
Reglas,203,1,0.09654915851095448,138
Reglas,204,1,0.049421044646716504,122
Reglas,205,0,0.07998943328857422,116
Reglas,206,0,0.0,26
Reglas,207,0,0.0,100
Reglas,208,0,0.16595866229083087,74
Reglas,209,1,0.0,144
Reglas,210,1,0.16134315066867402,90
Reglas,211,0,0.0693876881244754,242
Reglas,212,0,0.0,86
Reglas,213,0,0.0,48
Reglas,214,0,0.0,60
Reglas,215,0,0.14944540129767525,144
Reglas,216,0,0.07727512946495643,52
Reglas,217,0,0.05908573375028722,34
Reglas,218,0,0.055013224482536316,128
Reglas,219,1,0.0,46
Reglas,220,1,0.0,54
Reglas,221,0,0.12033675090376153,166
Reglas,222,0,0.05344108298972801,54
Reglas,223,1,0.056177377700805664,88
Reglas,224,0,0.0,40
Reglas,225,1,0.1074830691019694,60
Reglas,226,1,0.0,98
Reglas,227,1,0.14402382615683734,138
Reglas,228,1,0.037215374134205004,54
Reglas,229,0,0.06480463619889884,58
Reglas,230,0,0.06698369979858398,60
Reglas,231,0,0.0961161496346457,114
Reglas,232,1,0.07676010701193739,134
Reglas,233,0,0.0699962888445173,70
Reglas,234,1,0.0,34
Reglas,235,0,0.0,42
Reglas,236,1,0.10698345991281363,104
Reglas,237,0,0.0,52
Reglas,238,1,0.0,36
Reglas,239,0,0.0,56
Reglas,240,0,0.17467080330362125,98
Reglas,241,1,0.04200140635172526,48
Reglas,242,1,0.0,98
Reglas,243,0,0.0,38
Reglas,244,0,0.14233102603834502,98
Reglas,245,0,0.0,154
Reglas,246,1,0.3765597939491272,32
Reglas,247,1,0.06927422114780972,70
Reglas,248,1,0.0,48
Reglas,249,1,0.0,30
Probabilistico,1,0,0.46579978045295267,34
Probabilistico,2,0,0.0,206
Probabilistico,3,1,0.0,34
Probabilistico,4,1,0.13676336256124205,118
Probabilistico,5,1,0.0,46
Probabilistico,6,0,0.1489877700805664,80
Probabilistico,7,1,0.05366802215576172,70
Probabilistico,8,1,0.0,30
Probabilistico,9,0,0.0,30
Probabilistico,10,0,0.0,72
Probabilistico,11,0,0.12451410293579102,168
Probabilistico,12,0,0.07034758085845619,186
Probabilistico,13,1,0.047071226711930904,116
Probabilistico,14,0,0.08811210763865504,58
Probabilistico,15,1,0.0,138
Probabilistico,16,0,0.164031982421875,52
Probabilistico,17,1,0.05731344223022461,100
Probabilistico,18,0,0.035794008345831005,84
Probabilistico,19,1,0.0,118
Probabilistico,20,1,0.08170274977988384,188
Probabilistico,21,0,0.0,48
Probabilistico,22,1,0.08170058329900105,192
Probabilistico,23,1,0.0,116
Probabilistico,24,0,0.0,108
Probabilistico,25,0,0.19628189979715552,94
Probabilistico,26,1,0.03614690568712023,36
Probabilistico,27,1,0.08597828093029203,42
Probabilistico,28,0,0.02194826419536884,52
Probabilistico,29,0,0.0,54
Probabilistico,30,1,0.0,52
Probabilistico,31,0,0.08302599519163698,182
Probabilistico,32,1,0.0,58
Probabilistico,33,0,0.050861532516901,362
Probabilistico,34,1,0.0,70
Probabilistico,35,1,0.08951778143224581,142
Probabilistico,36,0,0.0,64
Probabilistico,37,0,0.0,62
Probabilistico,38,1,0.0,34
Probabilistico,39,1,0.11846912440968983,134
Probabilistico,40,0,0.0,80
Probabilistico,41,1,0.11007827624940036,114
Probabilistico,42,0,0.018589837210518975,140
Probabilistico,43,0,0.0,58
Probabilistico,44,1,0.08161758121691252,228
Probabilistico,45,0,0.0,38
Probabilistico,46,0,0.0,56
Probabilistico,47,0,0.0,56
Probabilistico,48,1,0.242765744527181,60
Probabilistico,49,1,0.06380677223205566,56
Probabilistico,50,0,0.033783190178148674,66
Probabilistico,51,0,0.0,36
Probabilistico,52,0,0.0,74
Probabilistico,53,1,0.10016282399495444,150
Probabilistico,54,1,0.031113624572753906,470
